"id",categorie,sous-categorie,activite,naf
"262","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication d'équipements d'emballage, de conditionnement et de pesage ","28.29A"
"263","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication d'autres machines d'usage général","28.29B"
"264","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication de machines agricoles et forestières","28.30Z"
"265","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication de machines-outils pour le travail des métaux","28.41Z"
"266","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication d'autres machines-outils ","28.49Z"
"267","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication de machines pour la métallurgie","28.91Z"
"268","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication de machines pour l'extraction ou la construction","28.92Z"
"269","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication de machines pour l'industrie agro-alimentaire","28.93Z"
"270","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication de machines pour les industries textiles","28.94Z"
"271","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication de machines pour les industries du papier et du carton","28.95Z"
"272","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication de machines pour le travail du caoutchouc ou des plastiques","28.96Z"
"273","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication de machines d'imprimerie","28.99A"
"274","Industrie manufacturières","Fabrication de machines et équipements N.C.A","Fabrication d'autres machines spécialisées","28.99B"
"275","Industrie manufacturières","Industrie automobile","Construction de véhicules automobiles","29.10Z"
"276","Industrie manufacturières","Industrie automobile","Fabrication de carrosseries et remorques","29.20Z"
"277","Industrie manufacturières","Industrie automobile","Fabrication d'équipements électriques et électroniques automobiles","29.31Z"
"278","Industrie manufacturières","Industrie automobile","Fabrication d'autres équipements automobiles","29.32Z"
"279","Industrie manufacturières","Fabrication d'autres matériels de transport","Construction de navires et de structures flottantes","30.11Z"
"280","Industrie manufacturières","Fabrication d'autres matériels de transport","Construction de bateaux de plaisance","30.12Z"
"281","Industrie manufacturières","Fabrication d'autres matériels de transport","Construction de locomotives et d'autre matériel ferroviaire roulant ","30.20Z"
"282","Industrie manufacturières","Fabrication d'autres matériels de transport","Construction aéronautique et spatiale ","30.30Z"
"283","Industrie manufacturières","Fabrication d'autres matériels de transport","Construction de véhicules militaires de combat ","30.40Z"
"284","Industrie manufacturières","Fabrication d'autres matériels de transport","Fabrication de motocycles","30.91Z"
"285","Industrie manufacturières","Fabrication d'autres matériels de transport","Fabrication de bicyclettes et de véhicules pour invalides","30.92Z"
"286","Industrie manufacturières","Fabrication d'autres matériels de transport","Fabrication d’autres équipements de transport n.c.a.","30.99Z"
"287","Industrie manufacturières","Fabrication de meubles","Fabrication de meubles de bureau et de magasin","31.01Z"
"288","Industrie manufacturières","Fabrication de meubles","Fabrication de meubles de cuisine ","31.02Z"
"289","Industrie manufacturières","Fabrication de meubles","Fabrication de matelas","31.03Z"
"290","Industrie manufacturières","Fabrication de meubles","Fabrication de sièges d'ameublement d'intérieur","31.09A"
"291","Industrie manufacturières","Fabrication de meubles","Fabrication d’autres meubles et industries connexes de l’ameublement","31.09B"
"292","Industrie manufacturières","Autres industries manufacturières","Frappe de monnaie","32.11Z"
"293","Industrie manufacturières","Autres industries manufacturières","Fabrication d’articles de joaillerie et bijouterie","32.12Z"
"294","Industrie manufacturières","Autres industries manufacturières","Fabrication d’articles de bijouterie fantaisie et articles similaires","32.13Z"
"295","Industrie manufacturières","Autres industries manufacturières","Fabrication d'instruments de musique","32.20Z"
"296","Industrie manufacturières","Autres industries manufacturières","Fabrication d'articles de sport","32.30Z"
"297","Industrie manufacturières","Autres industries manufacturières","Fabrication de jeux et jouets","32.40Z"
"298","Industrie manufacturières","Autres industries manufacturières","Fabrication de matériel médico-chirurgical et dentaire","32.50A"
"299","Industrie manufacturières","Autres industries manufacturières","Fabrication de lunettes","32.50B"
"300","Industrie manufacturières","Autres industries manufacturières","Fabrication d’articles de brosserie","32.91Z"
"301","Industrie manufacturières","Autres industries manufacturières","Autres activités manufacturières n.c.a. ","32.99Z"
"302","Industrie manufacturières","Réparation et installation de machines et d'équipements","Réparation d'ouvrages en métaux","33.11Z"
"303","Industrie manufacturières","Réparation et installation de machines et d'équipements","Réparation de machines et équipements mécaniques","33.12Z"
"304","Industrie manufacturières","Réparation et installation de machines et d'équipements","Réparation de matériels électroniques et optiques","33.13Z"
"305","Industrie manufacturières","Réparation et installation de machines et d'équipements","Réparation d'équipements électriques","33.14Z"
"306","Industrie manufacturières","Réparation et installation de machines et d'équipements","Réparation et maintenance navale","33.15Z"
"307","Industrie manufacturières","Réparation et installation de machines et d'équipements","Réparation et maintenance d'aéronefs et d'engins spatiaux ","33.16Z"
"308","Industrie manufacturières","Réparation et installation de machines et d'équipements","Réparation et maintenance d'autres équipements de transport","33.17Z"
"309","Industrie manufacturières","Réparation et installation de machines et d'équipements","Réparation d'autres équipements","33.19Z"
"310","Industrie manufacturières","Réparation et installation de machines et d'équipements","Installation de structures métalliques, chaudronnées et de tuyauterie","33.20A"
"311","Industrie manufacturières","Réparation et installation de machines et d'équipements","Installation de machines et équipements mécaniques","33.20B"
"312","Industrie manufacturières","Réparation et installation de machines et d'équipements","Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels ","33.20C"
"313","Industrie manufacturières","Réparation et installation de machines et d'équipements","Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels","33.20D"
"314","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production d'électricité","35.11Z"
"315","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Transport d'électricité","35.12Z"
"316","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Distribution d'électricité","35.13Z"
"317","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Commerce d'électricité","35.14Z"
"318","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production de combustibles gazeux","35.21Z"
"319","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Distribution de combustibles gazeux par conduites","35.22Z"
"320","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Commerce de combustibles gazeux par conduites","35.23Z"
"321","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution de vapeur et d'air conditionné ","35.30Z"
"322","Production et distribution d'eau ; Assainissement, gestion des déchets et dépollution","Captage, traitement, et distribution d'eau","Captage, traitement et distribution d'eau","36.00Z"
"323","Production et distribution d'eau ; Assainissement, gestion des déchets et dépollution","Collecte et traitement des eaux usées","Collecte et traitement des eaux usées","37.00Z"
"324","Production et distribution d'eau ; Assainissement, gestion des déchets et dépollution","Collecte, traitement et élimination des déchets ; Récupération","Collecte des déchets non dangereux","38.11Z"
"325","Production et distribution d'eau ; Assainissement, gestion des déchets et dépollution","Collecte, traitement et élimination des déchets ; Récupération","Collecte des déchets dangereux","38.12Z"
"326","Production et distribution d'eau ; Assainissement, gestion des déchets et dépollution","Collecte, traitement et élimination des déchets ; Récupération","Traitement et élimination des déchets non dangereux","38.21Z"
"327","Production et distribution d'eau ; Assainissement, gestion des déchets et dépollution","Collecte, traitement et élimination des déchets ; Récupération","Traitement et élimination des déchets dangereux","38.22Z"
"328","Production et distribution d'eau ; Assainissement, gestion des déchets et dépollution","Collecte, traitement et élimination des déchets ; Récupération","Démantèlement d'épaves","38.31Z"
"329","Production et distribution d'eau ; Assainissement, gestion des déchets et dépollution","Collecte, traitement et élimination des déchets ; Récupération","Récupération de déchets triés","38.32Z"
"330","Production et distribution d'eau ; Assainissement, gestion des déchets et dépollution","Dépollution et autres services de gestion des déchets","Dépollution et autres services de gestion des déchets","39.00Z"
"331","Construction","Construction de bâtiments","Promotion immobilière de logements","41.10A"
"332","Construction","Construction de bâtiments","Promotion immobilière de bureaux","41.10B"
"333","Construction","Construction de bâtiments","Promotion immobilière d'autres bâtiments","41.10C"
"334","Construction","Construction de bâtiments","Supports juridiques de programmes","41.10D"
"335","Construction","Construction de bâtiments","Construction de maisons individuelles","41.20A"
"336","Construction","Construction de bâtiments","Construction d'autres bâtiments","41.20B"
"337","Construction","Génie civil","Construction de routes et autoroutes","42.11Z"
"338","Construction","Génie civil","Construction de voies ferrées de surface et souterraines","42.12Z"
"339","Construction","Génie civil","Construction d'ouvrages d'art","42.13A"
"340","Construction","Génie civil","Construction et entretien de tunnels","42.13B"
"341","Construction","Génie civil","Construction de réseaux pour fluides","42.21Z"
"342","Construction","Génie civil","Construction de réseaux électriques et de télécommunications","42.22Z"
"343","Construction","Génie civil","Construction d'ouvrages maritimes et fluviaux","42.91Z"
"344","Construction","Génie civil","Construction d'autres ouvrages de génie civil n.c.a.","42.99Z"
"345","Construction","Travaux de construction spécialisés","Travaux de démolition","43.11Z"
"346","Construction","Travaux de construction spécialisés","Travaux de terrassement courants et travaux préparatoires","43.12A"
"347","Construction","Travaux de construction spécialisés","Travaux de terrassement spécialisés ou de grande masse","43.12B"
"348","Construction","Travaux de construction spécialisés","Forages et sondages","43.13Z"
"349","Construction","Travaux de construction spécialisés","Travaux d'installation électrique dans tous locaux","43.21A"
"350","Construction","Travaux de construction spécialisés","Travaux d'installation électrique sur la voie publique","43.21B"
"351","Construction","Travaux de construction spécialisés","Travaux d'installation d'eau et de gaz en tous locaux","43.22A"
"352","Construction","Travaux de construction spécialisés","Travaux d'installation d'équipements thermiques et de climatisation","43.22B"
"353","Construction","Travaux de construction spécialisés","Travaux d'isolation","43.29A"
"354","Construction","Travaux de construction spécialisés","Autres travaux d'installation n.c.a.","43.29B"
"355","Construction","Travaux de construction spécialisés","Travaux de plâtrerie","43.31Z"
"356","Construction","Travaux de construction spécialisés","Travaux de menuiserie bois et PVC","43.32A"
"357","Construction","Travaux de construction spécialisés","Travaux de menuiserie métallique et serrurerie","43.32B"
"358","Construction","Travaux de construction spécialisés","Agencement de lieux de vente","43.32C"
"359","Construction","Travaux de construction spécialisés","Travaux de revêtement des sols et des murs","43.33Z"
"360","Construction","Travaux de construction spécialisés","Travaux de peinture et vitrerie","43.34Z"
"361","Construction","Travaux de construction spécialisés","Autres travaux de finition","43.39Z"
"362","Construction","Travaux de construction spécialisés","Travaux de charpente","43.91A"
"363","Construction","Travaux de construction spécialisés","Travaux de couverture par éléments","43.91B"
"364","Construction","Travaux de construction spécialisés","Travaux d'étanchéification","43.99A"
"365","Construction","Travaux de construction spécialisés","Travaux de montage de structures métalliques","43.99B"
"366","Construction","Travaux de construction spécialisés","Travaux de maçonnerie générale et gros œuvre de bâtiment","43.99C"
"367","Construction","Travaux de construction spécialisés","Autres travaux spécialisés de construction","43.99D"
"368","Construction","Travaux de construction spécialisés","Location avec opérateur de matériel de construction","43.99E"
"369","Commerce ; Réparation d'automobiles et de motocycles","Commerce et réparation d'automobiles et de motocycles","Commerce de voitures et de véhicules automobiles légers","45.11Z"
"370","Commerce ; Réparation d'automobiles et de motocycles","Commerce et réparation d'automobiles et de motocycles","Commerce d'autres véhicules automobiles","45.19Z"
"371","Commerce ; Réparation d'automobiles et de motocycles","Commerce et réparation d'automobiles et de motocycles","Entretien et réparation de véhicules automobiles légers","45.20A"
"372","Commerce ; Réparation d'automobiles et de motocycles","Commerce et réparation d'automobiles et de motocycles","Entretien et réparation d'autres véhicules automobiles","45.20B"
"373","Commerce ; Réparation d'automobiles et de motocycles","Commerce et réparation d'automobiles et de motocycles","Commerce de gros d'équipements automobiles","45.31Z"
"374","Commerce ; Réparation d'automobiles et de motocycles","Commerce et réparation d'automobiles et de motocycles","Commerce de détail d'équipements automobiles","45.32Z"
"375","Commerce ; Réparation d'automobiles et de motocycles","Commerce et réparation d'automobiles et de motocycles","Commerce et réparation de motocycles","45.40Z"
"376","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis","46.11Z"
"377","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Centrales d'achat de carburant","46.12A"
"378","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques","46.12B"
"379","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Intermédiaires du commerce en bois et matériaux de construction","46.13Z"
"380","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Intermédiaires du commerce en machines, équipements industriels, navires et avions","46.14Z"
"381","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Intermédiaires du commerce en meubles, articles de ménage et quincaillerie","46.15Z"
"382","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir","46.16Z"
"383","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Centrales d'achat alimentaires","46.17A"
"384","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Autres intermédiaires du commerce en denrées, boissons et tabac","46.17B"
"385","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Intermédiaires spécialisés dans le commerce d'autres produits spécifiques","46.18Z"
"386","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Centrales d'achat non alimentaires","46.19A"
"387","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Autres intermédiaires du commerce en produits divers","46.19B"
"388","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail ","46.21Z"
"389","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de fleurs et plantes","46.22Z"
"390","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) d'animaux vivants","46.23Z"
"391","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de cuirs et peaux","46.24Z"
"392","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de fruits et légumes","46.31Z"
"393","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de viandes de boucherie","46.32A"
"394","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de produits à base de viande","46.32B"
"395","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de volailles et gibier","46.32C"
"396","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles","46.33Z"
"397","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de boissons","46.34Z"
"398","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de produits à base de tabac","46.35Z"
"399","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie","46.36Z"
"400","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de café, thé, cacao et épices","46.37Z"
"401","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques","46.38A"
"402","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) alimentaire spécialisé divers","46.38B"
"403","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de produits surgelés","46.39A"
"404","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) alimentaire non spécialisé","46.39B"
"405","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de textiles","46.41Z"
"406","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) d'habillement et de chaussures","46.42Z"
"407","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) d'appareils électroménagers","46.43Z"
"408","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien","46.44Z"
"409","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté","46.45Z"
"410","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de produits pharmaceutiques","46.46Z"
"411","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage ","46.47Z"
"412","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie","46.48Z"
"413","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) d'autres biens domestiques ","46.49Z"
"414","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","46.51Z"
"415","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication","46.52Z"
"416","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de matériel agricole","46.61Z"
"417","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de machines-outils","46.62Z"
"418","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil ","46.63Z"
"419","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement","46.64Z"
"420","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de mobilier de bureau","46.65Z"
"421","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau ","46.66Z"
"422","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de matériel électrique","46.69A"
"423","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers","46.69B"
"424","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services","46.69C"
"425","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de combustibles et de produits annexes","46.71Z"
"426","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de minerais et métaux","46.72Z"
"427","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de bois et de matériaux de construction ","46.73A"
"428","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration","46.73B"
"429","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de quincaillerie","46.74A"
"430","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage","46.74B"
"431","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de produits chimiques","46.75Z"
"432","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) d'autres produits intermédiaires","46.76Z"
"433","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) de déchets et débris","46.77Z"
"434","Commerce ; Réparation d'automobiles et de motocycles","Commerce de gros, à l'exclusion des automobiles et des motocycles","Commerce de gros (commerce interentreprises) non spécialisé","46.90Z"
"435","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de produits surgelés","47.11A"
"436","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce d'alimentation générale","47.11B"
"437","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Supérettes","47.11C"
"438","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Supermarchés","47.11D"
"439","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Magasins multi-commerces","47.11E"
"440","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Hypermarchés","47.11F"
"441","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Grands magasins","47.19A"
"442","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Autres commerces de détail en magasin non spécialisé","47.19B"
"443","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de fruits et légumes en magasin spécialisé","47.21Z"
"444","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de viandes et de produits à base de viande en magasin spécialisé","47.22Z"
"445","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé","47.23Z"
"446","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé","47.24Z"
"447","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de boissons en magasin spécialisé","47.25Z"
"448","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de produits à base de tabac en magasin spécialisé","47.26Z"
"449","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Autres commerces de détail alimentaires en magasin spécialisé ","47.29Z"
"450","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de carburants en magasin spécialisé","47.30Z"
"451","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé","47.41Z"
"452","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de matériels de télécommunication en magasin spécialisé","47.42Z"
"453","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de matériels audio et vidéo en magasin spécialisé","47.43Z"
"454","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de textiles en magasin spécialisé","47.51Z"
"455","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m2)","47.52A"
"456","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus)","47.52B"
"457","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé","47.53Z"
"458","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail d'appareils électroménagers en magasin spécialisé","47.54Z"
"459","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de meubles","47.59A"
"460","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail d'autres équipements du foyer","47.59B"
"461","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de livres en magasin spécialisé","47.61Z"
"462","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de journaux et papeterie en magasin spécialisé","47.62Z"
"463","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé","47.63Z"
"464","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail d'articles de sport en magasin spécialisé","47.64Z"
"465","Commerce ; Réparation d'automobiles et de motocycles","Commerce de détail, à l'exception des automobiles et des motocyles","Commerce de détail de jeux et jouets en magasin spécialisé","47.65Z"
